"","time","Q_BVR_m3.d"
"652",2014-10-14,11544.7176559008
"653",2014-10-15,24066.1429591306
"654",2014-10-16,16846.3000713914
"655",2014-10-17,11792.410049974
"656",2014-10-18,8254.68703498179
"657",2014-10-19,5778.28092448725
"658",2014-10-20,4044.79664714108
"659",2014-10-21,2831.35765299875
"660",2014-10-22,1981.95035709913
"661",2014-10-23,1387.36524996939
"662",2014-10-24,971.155674978573
"663",2014-10-25,679.808972485001
"664",2014-10-26,475.866280739501
"665",2014-10-27,333.10639651765
"666",2014-10-28,233.174477562355
"667",2014-10-29,163.222134293649
"668",2014-10-30,114.255494005554
"669",2014-10-31,2732.63530012647
"670",2014-11-01,7040.93159006665
"671",2014-11-02,4928.65211304666
"672",2014-11-03,3450.05647913266
"673",2014-11-04,2415.03953539286
"674",2014-11-05,1690.527674775
"675",2014-11-06,2038.00065758838
"676",2014-11-07,1426.60046031187
"677",2014-11-08,998.620322218307
"678",2014-11-09,699.034225552815
"679",2014-11-10,489.32395788697
"680",2014-11-11,342.526770520879
"681",2014-11-12,239.768739364615
"682",2014-11-13,167.838117555231
"683",2014-11-14,117.486682288662
"684",2014-11-15,82.2406776020631
"685",2014-11-16,234.098504246497
"686",2014-11-17,12559.2788089167
"687",2014-11-18,8791.49516624167
"688",2014-11-19,6154.04661636917
"689",2014-11-20,4307.83263145842
"690",2014-11-21,3015.48284202089
"691",2014-11-22,2110.83798941463
"692",2014-11-23,10879.5586975108
"693",2014-11-24,7615.69108825753
"694",2014-11-25,5330.98376178027
"695",2014-11-26,27691.7929076461
"696",2014-11-27,19384.2550353523
"697",2014-11-28,13568.9785247466
"698",2014-11-29,9498.28496732261
"699",2014-11-30,6648.79947712583
"700",2014-12-01,4694.54307126469
"701",2014-12-02,11798.1848401305
"702",2014-12-03,8258.72938809137
"703",2014-12-04,6917.46511065024
"704",2014-12-05,5508.03927745516
"705",2014-12-06,5172.40909421861
"706",2014-12-07,3620.68636595303
"707",2014-12-08,2844.97714817606
"708",2014-12-09,1991.48400372324
"709",2014-12-10,1394.03880260627
"710",2014-12-11,975.827161824387
