Reservoir,Site,DateTime,Depth_m,Rep,Dilution,a254_m,a350_m,S275_295,S350_400,Sr,Max_FL_Ex,Max_FL_Em,Max_FL,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,Fmax1,Fmax2,Fmax3,Fmax4,abs_Flag,fl_Flag
BVR,200,2019-05-30,0.1,1,1,16.121,7.5999,2.549527539,1.835629915,1.388911522,300,300,14.79465238,0.055275006,0.059720555,0.224525887,0.115047696,0.089154799,0.074168972,1.442645459,0.580060025,4.242944102,1.080426033,0.669852388,0.805195943,0.519093882,3.759608181,1.951589605,2.518382519,0.774937719,1.551156681,0.538394676,0.611722189,0.273869002,0.134463579,0,0
FCR,1,2019-05-30,0.1,2,1,9.6726,3.4545,1.959288257,0.877857615,2.231897546,300,300,10.61521051,0.041871841,0.048496264,0.160544572,0.078603251,0.064596664,0.054887658,1.457009929,0.618506967,4.378914499,1.15820711,0.750754933,0.883554994,0.616975296,3.310452334,2.04246731,2.485338419,0.821806517,1.432075156,0.376516845,0.436482228,0.106714185,0.143817378,0,0
FCR,20,2019-05-30,0.1,1,1,11.7453,4.606,2.241278173,1.287346474,1.741006184,305,304,8.830485626,0.141020604,0.106122543,0.159451244,0.076038798,0.071124523,0.081087272,1.453592812,0.642837567,2.104228692,0.752532182,1.492066855,1.308744759,1.395636776,1.502520008,2.09697218,2.241860303,0.935371476,0.937740236,0.35177143,0.465366429,0.052975853,0.287635291,0,0
FCR,30,2019-05-30,0.1,2,1,11.515,3.9151,2.127652708,1.063508126,2.00059845,300,300,9.892657476,0.041054468,0.055470198,0.173045332,0.083848406,0.070130118,0.062759743,1.431432356,0.602308318,4.404051041,1.351136675,0.790961141,0.883849991,0.661553398,3.119609054,2.06378797,2.467489537,0.836391782,1.336022147,0.400392407,0.49192863,0.099617087,0.147172574,0,0
FCR,45,2019-05-30,0.1,1,1,10.8241,3.4545,2.041564728,0.823230378,2.479943383,300,300,6.293860706,0.054689072,0.057305782,0.165977275,0.081448872,0.06736021,0.057363397,1.440188991,0.593244804,3.756395552,1.047847033,0.850736383,0.9989956,0.70357981,2.896344323,2.03780939,2.464025493,0.827024475,1.419875308,0.399898969,0.456886619,0.063168554,0.151326965,0,0
FCR,50,2019-05-30,0.1,1,1,12.4362,4.1454,2.290566452,1.14169544,2.006285015,305,304,8.606591804,0.134769118,0.11141235,0.180566453,0.084196452,0.083385134,0.094384068,1.435095307,0.628283755,2.268591513,0.826690506,1.336117661,1.180414801,1.323242814,1.620704097,2.144585051,2.165451367,0.990363988,0.892062128,0.393367518,0.514708473,0.069654093,0.300083384,0,0
FCR,99,2019-05-30,0.1,2,1,8.7514,3.2242,1.912529278,0.85994296,2.224018763,300,300,9.525353224,0.068545464,0.076494379,0.150459712,0.073568288,0.062167375,0.067130291,1.450081447,0.624087015,3.154110198,1.11596559,1.230458558,1.139491253,1.039773814,1.966938141,2.045170772,2.42023587,0.845029527,1.095903011,0.361872606,0.419104459,0.132957797,0.199473687,0,0
FCR,100,2019-05-30,0.1,2,1,7.8302,2.7636,1.801362926,0.698024047,2.58066027,240,484,11.97411471,0.05639381,0.064566224,0.126286103,0.062692817,0.054669193,0.05974565,1.434773257,0.641638113,3.127668689,1.144916862,1.181034882,1.080684931,1.029882323,1.955915882,2.014363191,2.310004883,0.872016854,1.049328557,0.310790473,0.322082627,0.136310107,0.157963892,0,0
FCR,101,2019-05-30,0.1,2,1,8.9817,4.1454,1.942087231,1.235774975,1.571554102,300,300,15.97877667,0.048330388,0.044605236,0.139345371,0.062711144,0.053693637,0.048870532,1.406609568,0.62755709,2.861239589,0.922923204,0.830735982,0.912722543,0.711280862,3.123968889,2.222019286,2.595193362,0.856205675,1.283209757,0.367733785,0.291082616,0.338017442,0.112569419,0,0
FCR,102,2019-05-30,0.1,1,1,10.1332,3.9151,2.019402944,1.107981432,1.822596378,300,300,9.398356043,0.049644697,0.048358085,0.124641711,0.059576695,0.052995512,0.047674428,1.417669056,0.642892521,3.007230826,0.974083601,0.91249397,1.014340108,0.811694661,2.577474103,2.092121969,2.351929576,0.889534275,1.249657237,0.281705947,0.341968797,0.065317788,0.158353575,0,0
FCR,200,2019-05-30,0.1,2,1,17.7331,7.3696,2.574225914,1.765012958,1.45847423,300,300,11.9312718,0.0978568,0.131357995,0.320933584,0.162495011,0.115127948,0.111744268,1.426673267,0.534144862,3.900593353,1.342349181,1.14097399,1.175523333,0.808381709,2.443197955,1.975036539,2.78762532,0.708501435,1.454168643,0.838988322,0.831383019,0.128863659,0.278772712,0,0
FCR,50,2019-06-03,0.1,2,1,9.6726,2.5333,1.929664448,0.482391416,4.000204782,305,304,6.446236546,0.078911874,0.075555193,0.162960086,0.078258379,0.068494878,0.067476029,1.417570771,0.602834586,3.292267839,0.957462917,1.103077997,1.11973383,0.965458183,2.156835021,2.082334022,2.379157255,0.875240179,1.159795265,0.354628823,0.475399743,0.027526451,0.193135987,0,0
FCR,50,2019-06-03,0.1,2,2,6.909,0.9212,1.598713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
FCR,50,2019-06-03,5,1,1,8.0605,2.7636,1.808985384,0.818618957,2.209801482,300,300,17.70951484,0.077628555,0.093130511,0.181188313,0.08941381,0.07571526,0.076533813,1.47903036,0.674200847,2.799385495,1.19969399,1.230009797,1.216854448,1.041567414,1.94553117,2.026401869,2.393022399,0.846796031,1.168291588,0.401715482,0.481981869,0.186399471,0.240681233,0,0
FCR,50,2019-06-03,9,2,1,7.1393,3.2242,1.71345313,0.987128386,1.735795622,300,300,19.33594082,0.049814844,0.050625418,0.158753991,0.079470801,0.069318037,0.062658163,1.486876838,0.679795058,3.613107845,1.016271738,0.730335431,0.807962051,0.637031682,3.1358554,1.99763924,2.290226304,0.872245348,1.268323184,0.355528692,0.43518123,0.210232965,0.146478765,0,0
FCR,100,2019-06-03,0.1,2,1,8.9817,3.9151,1.935789,1.179561,1.64111,300,300,24.39557266,0.032314463,0.032468546,0.129774258,0.064892903,0.050647188,0.044484225,1.39633857,0.61765759,4.172037446,1.004768242,0.641073015,0.729888987,0.500340471,3.996922392,1.999822033,2.562319087,0.780473456,1.458784625,0.367188275,0.306410747,0.181253726,0.086353143,0,0
FCR,200,2019-06-03,0.1,2,1,19.8058,9.9029,2.779779,2.134024,1.3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,200,2019-06-03,0.1,2,2,16.5816,7.8302,2.570847,1.92698,1.334133,300,300,40.61379248,0.073475754,0.066055243,0.288473532,0.143686856,0.10299177,0.088388631,1.396258274,0.547513615,5.824907989,0.899007356,0.64136429,0.747327373,0.459716672,4.367155687,2.007654278,2.800937706,0.716779339,1.625625997,0.864159485,0.61650685,0.400359135,0.127805232,0,0
FCR,50,2019-06-06,0.1,1,1,12.4362,4.1454,2.250952,1.105654,2.035855,300,300,9.271936201,0.118283343,0.111349615,0.184898643,0.086160278,0.081478894,0.091147631,1.406978088,0.642058398,2.536927264,0.941380345,1.36660685,1.221640242,1.292354399,1.660523422,2.145984749,2.269282684,0.94566656,0.945282689,0.391405426,0.547665056,0.0312691,0.294579664,0,0
FCR,50,2019-06-06,0.1,2,1,13.5877,4.8363,2.327935,1.351361,1.722659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-06-06,0.1,2,2,14.2786,5.0666,2.377616,1.395909,1.703274,305,304,22.4591969,0.082087223,0.086234744,0.19058165,0.088148606,0.080766198,0.073949676,1.399901487,0.65750439,2.72486104,1.05052578,1.067708348,1.166127418,0.978288232,2.210033233,2.162049503,2.359670933,0.916250429,1.192008019,0.425312582,0.555343774,0.061239865,0.237524775,0,0
FCR,50,2019-06-06,5,2,1,9.9029,3.2242,2.025102,0.970061,2.087604,300,300,9.752189284,0.094502342,0.086813536,0.180500628,0.091869178,0.076163115,0.07986011,1.505630647,0.6491383,3.189595015,0.918638991,1.139837003,1.087070076,0.944969116,2.079176077,1.964757179,2.369921829,0.829038813,1.150376301,0.411258832,0.534000909,0.024254461,0.209363879,0,0
FCR,50,2019-06-06,9,1,1,10.1332,3.6848,2.076202,1.164986,1.782168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
