Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
FCR,50,2015-08-24 12:00:00,1.6,15.4,2.6,0,0
FCR,50,2015-08-24 12:00:00,3.8,27.4,30.7,0,0
FCR,50,2015-08-24 12:00:00,5,69.2,15.2,0,0
FCR,50,2015-08-24 12:00:00,6.2,17.3,8.6,0,0
FCR,50,2015-08-24 12:00:00,9,2.9,2.5,0,0
FCR,50,2015-09-07 12:00:00,1.6,15.4,2.6,0,0
FCR,50,2015-09-07 12:00:00,3.8,32.7,10.2,0,0
FCR,50,2015-09-07 12:00:00,5,28.8,4.4,0,0
FCR,50,2015-09-07 12:00:00,6.2,40.3,16.4,0,0
FCR,50,2015-09-07 12:00:00,9,8.6,3.8,0,0
FCR,50,2015-09-14 12:00:00,1.6,14.4,8.4,0,0
FCR,50,2015-09-14 12:00:00,3.8,13.4,-1,0,4
FCR,50,2015-09-14 12:00:00,5,28.8,12.7,0,0
FCR,50,2015-09-14 12:00:00,6.2,20.2,6.8,0,0
FCR,50,2015-09-14 12:00:00,9,5.1,1.3,0,4
FCR,50,2015-09-21 12:00:00,1.6,6.7,3,0,0
FCR,50,2015-09-21 12:00:00,3.8,6.7,1.6,0,0
FCR,50,2015-09-21 12:00:00,5,57.6,15,0,0
FCR,50,2015-09-21 12:00:00,6.2,23.1,7,0,0
FCR,50,2015-09-21 12:00:00,9,13,11.9,0,0
FCR,50,2015-09-28 12:00:00,1.6,11.5,3.7,0,0
FCR,50,2015-09-28 12:00:00,3.8,0,20.1,4,0
FCR,50,2015-09-28 12:00:00,5,8.1,5.2,0,0
FCR,50,2015-09-28 12:00:00,6.2,11.5,3,0,4
FCR,50,2015-09-28 12:00:00,9,8.6,1.7,0,0
FCR,50,2015-10-05 12:00:00,1.6,7.7,6.1,0,0
FCR,50,2015-10-05 12:00:00,3.8,3.5,3.6,0,0
FCR,50,2015-10-05 12:00:00,5,6.7,3.7,0,0
FCR,50,2015-10-05 12:00:00,6.2,5.8,5.3,0,0
FCR,50,2015-10-05 12:00:00,9,3.5,4,0,0
FCR,50,2015-10-19 12:00:00,1.6,2.3,-2.3,0,4
FCR,50,2015-10-19 12:00:00,3.8,2.9,-0.8,0,4
FCR,50,2015-10-19 12:00:00,5,2.9,-0.4,0,4
FCR,50,2015-10-19 12:00:00,6.2,1.7,-0.5,0,4
FCR,50,2015-10-19 12:00:00,9,1.7,-0.1,0,4
FCR,50,2015-11-09 12:00:00,1.6,4.9,0.4,0,4
FCR,50,2015-11-09 12:00:00,3.8,4.3,-0.2,0,4
FCR,50,2015-11-09 12:00:00,5,10.1,-1.8,0,4
FCR,50,2015-11-09 12:00:00,6.2,2.9,-1.6,0,4
FCR,50,2015-11-09 12:00:00,9,3.5,-1.4,0,4
GWR,50,2014-05-20 12:00:00,9,0.6,1.5,4,0
GWR,50,2015-05-09 12:00:00,0.1,1.2,2.2,0,0
GWR,50,2015-05-09 12:00:00,5,5.2,1.9,0,0
GWR,50,2015-05-09 12:00:00,14,0.6,1.5,4,0
GWR,50,2015-05-20 12:00:00,5,10.4,6.6,0,0
GWR,50,2015-05-20 12:00:00,13,0.6,0.3,4,4
GWR,50,2015-05-30 12:00:00,0.1,4.6,2,0,0
GWR,50,2015-05-30 12:00:00,5,8.1,5.6,0,0
GWR,50,2015-05-30 12:00:00,9,1.7,0.8,0,0
GWR,50,2015-05-30 12:00:00,13,0.6,1.5,4,0
GWR,50,2015-06-10 12:00:00,0.1,2.3,0.6,0,4
GWR,50,2015-06-10 12:00:00,5,2.3,4.7,0,0
GWR,50,2015-06-10 12:00:00,9,1.2,1.3,0,0
GWR,50,2015-06-10 12:00:00,14,1.7,-0.1,0,4
GWR,50,2015-06-22 12:00:00,0.1,1.2,0.1,0,4
GWR,50,2015-06-22 12:00:00,5,8.1,4,0,0
GWR,50,2015-06-22 12:00:00,9,1.7,1.2,0,0
GWR,50,2015-06-22 12:00:00,14,1.9,0.2,0,4
GWR,50,2015-07-05 12:00:00,5,12.1,9.1,0,0
GWR,50,2015-07-06 12:00:00,0.1,3.5,1.9,0,0
GWR,50,2015-07-06 12:00:00,9,1.2,2.6,0,0
GWR,50,2015-07-06 12:00:00,14,2.9,2,0,0
GWR,50,2015-07-20 12:00:00,0.1,2.3,0.6,0,4
GWR,50,2015-07-20 12:00:00,5,5.8,3.4,0,0
GWR,50,2015-07-20 12:00:00,9,2.3,1.8,0,0
GWR,50,2015-07-20 12:00:00,14,0.6,1.5,4,0
GWR,50,2015-07-26 12:00:00,0.1,1.7,2,0,0
GWR,50,2015-08-03 12:00:00,0.1,1.7,2,0,0
GWR,50,2015-08-03 12:00:00,6,4.6,6.6,0,0
GWR,50,2015-08-03 12:00:00,9,2.9,0.7,0,4
GWR,50,2015-08-03 12:00:00,13,1,1.8,4,0
GWR,50,2015-08-15 12:00:00,0.1,2.3,1,0,0
GWR,50,2015-08-15 12:00:00,5,4,0.9,0,0
GWR,50,2015-08-15 12:00:00,9,9.6,4.2,0,0
GWR,50,2015-08-15 12:00:00,13.5,4.3,0.9,0,4
GWR,50,2015-08-30 12:00:00,0.1,2.9,1.3,0,0
GWR,50,2015-08-30 12:00:00,5,2.9,2.9,0,0
GWR,50,2015-08-30 12:00:00,9,7.2,3.2,0,0
GWR,50,2015-08-30 12:00:00,12,10.1,2.4,0,0
GWR,50,2015-09-17 12:00:00,0.1,3.5,-0.1,0,4
GWR,50,2015-09-17 12:00:00,8,11.5,6.5,0,0
GWR,50,2015-09-17 12:00:00,12,11.5,4,0,0
SHR,50,2015-05-08 12:00:00,0.1,0.6,-0.6,4,4
SHR,50,2015-05-08 12:00:00,8,1.2,-1.2,0,4
